Class,Genus,Species,Individuals
Demospongea,Hartmanina,bangtoupoensis,2
Anthozoa,Neoconophyllia,leidapoensis,2
Gastropoda,Euzone,sp.,4
Gastropoda,Wortheniella,conica,7
Gastropoda,Wortheniella,nuda,6
Gastropoda,Wortheniella,qingyanensis,1
Gastropoda,Wortheniella,tuberculifera,3
Gastropoda,Wortheniella,sp. 1,8
Gastropoda,Wortheniella,sp. 2,2
Gastropoda,Wortheniella,sp. 3,3
Gastropoda,Schizogonium,pentagonum,6
Gastropoda,Eucycloscala,binodosa,1
Gastropoda,Eucycloscala,obliquicostata,3
Gastropoda,Eucycloscala,sp. 1,6
Gastropoda,Eucycloscala,sp. 2,11
Gastropoda,Riselloidea,sp.,1
Gastropoda,Natiria,striatocostata,1
Gastropoda,Triassocirrus,sp.,2
Gastropoda,Discogonius,sp.,1
Gastropoda,Cheilotomona,pentagonum,2
Gastropoda,Naticopsis,ladina,1
Gastropoda,Hologyra,guizhui,9
Gastropoda,Pachyomphalus,sp.,7
Gastropoda,Delphinulopsis,binodusa,6
Gastropoda,Neritaria,sp. 1,4
Gastropoda,Neritaria,sp. 2,10
Gastropoda,Zygopleura,arctecostata,5
Gastropoda,Zygopleura,walmstedti,2
Gastropoda,Tyrsoecus,multinodosa,6
Gastropoda,Spirostylus,subcolumnaris,1
Gastropoda,Coelostylina,liscaviensis,2
Gastropoda,Omphaloptycha,sp.,1
Gastropoda,Spirochrysalis,sp.,1
Gastropoda,Toxoconcha,brocchii,1
Gastropoda,Trypanostylus,konincki,6
Gastropoda,Trypanostylus,turritelliformis,5
Gastropoda,Trypanostylus,sp.,5
Gastropoda,Promathilda,antonii,1
Gastropoda,Promathilda,sp. 1,1
Gastropoda,Promathilda,sp. 2,5
Cephalopoda,Syringonautilus,carolinus,1
Cephalopoda,Paraceratites,brembanus,1
Scaphopoda,Laevidentalium,bangtoupoensis,7
Scaphopoda,Prodentalium,qingyanicum,2
Bivalvia,Palaeonucula,qingyanensis,10
Bivalvia,Phaenodesmia,sp.,1
Bivalvia,Phestia,subperlonga,1
Bivalvia,Pseudomyoconcha,goldfussi,2
Bivalvia,Pseudomyoconcha,maximilianleuchtenbergensis,1
Bivalvia,Modiolus,salzstettensis,5
Bivalvia,Parallelodon,beyrichi,5
Bivalvia,Elegantarca,subareata,7
Bivalvia,Pteria,caudata,4
Bivalvia,Pteria,rugosa,6
Bivalvia,Arcavicula,guizhouensis,23
Bivalvia,Arcavicula,sp.,2
Bivalvia,Gervillia,angulata,5
Bivalvia,Cassianella,sulcata,30
Bivalvia,Cassianella,qingyanensis,24
Bivalvia,Cassianella,simplex,72
Bivalvia,Cassianella,subcislonensis,32
Bivalvia,Palaeolima,dunkeri,1
Bivalvia,Plagiostoma,sp.,2
Bivalvia,Pseudoplacunopsis,sp. 1,3
Bivalvia,Pseudoplacunopsis,sp. 2,1
Bivalvia,Protostrea,sinensis,7
Bivalvia,Lopha,sp.,2
Bivalvia,Leptochondria,albertii,2
Bivalvia,Leptochondria,plana,4
Bivalvia,Newaagia,multicostata,1
Bivalvia,Newaagia,sessilis,3
Bivalvia,Placunopsis,subplana,7
Bivalvia,Entolium,discites,1
Bivalvia,Entolium,undiferum,1
Bivalvia,Praechlamys,schroeteri,1
Bivalvia,Schafhaeutlia,astartiformis,21
Bivalvia,Costatoria,multiformis,3
Bivalvia,Elegantinia,elegans,15
Bivalvia,Elegantinia,kulunensis,4
Bivalvia,Elegantinia,sp.,22
Bivalvia,Neoschizodus,laevigatus,1
Bivalvia,Unionites,sp.,1
Bivalvia,Coelopis,sp.,1
Bivalvia,Cardinia,sp.,2
Articulata,Quadratia,quadrata,2
Polychaeta,Ruxingella,lianjiangensis,22
Polychaeta,Weixiserpula,weixi,35
Polychaeta,Spirorbis,qingyani,1
Articulata,Septaliphorioidea,paucicostata,5
Articulata,Diholkorhynchia,sinensis,22
Articulata,Mentzelia,mentzeli,2
Articulata,Mentzelia,subspherica,17
Articulata,Thecocyrtelloidea,tubulosa,17
Articulata,Qingyenia,spinosa,2
Articulata,Hirsutella,multicostata,2
Articulata,Nudispiriferina,minima,7
Articulata,Lepismatina,hsui,12
Articulata,Angustothyris,angustaeformis,5
Articulata,Adygella,elongata,1
Crinoidea,Encrinus,liliiformis,3
Crinoidea,Qingyanocrinus,kueichounensis,1
Crinoidea,Bangtoupocrinus,kokeni,1
Crinoidea,Balanocrinus,sp.,1
Echinoidea,Miocidaris,sp.,1
Echinoidea,Triadocidaris,sp.,1
