Depth in core (cm)	Age (yrs BP)	O. universa accumulation rate (specimens/sqm/year)	O. universa relative abundance (fraction)	T. sacculifer accumulation rate (specimens/sqm/year)	T. sacculifer relative abundance (fraction)
1425.25	437450.42	NA	NA	NA	NA
1425.75	437569.4	NA	NA	NA	NA
1426.25	437688.38	0	0	0	0
1426.75	437807.36	NA	NA	NA	NA
1427.25	437926.34	NA	NA	NA	NA
1427.75	438045.32	NA	NA	NA	NA
1428.25	438164.31	0	0	0	0
1428.75	438283.29	NA	NA	NA	NA
1429.25	438402.27	NA	NA	NA	NA
1429.75	438521.25	NA	NA	NA	NA
1430.25	438640.23	0	0	0	0
1430.75	438759.21	NA	NA	NA	NA
1431.25	438878.19	NA	NA	NA	NA
1431.75	438997.18	NA	NA	NA	NA
1432.25	439116.16	0	0	101.1	0.12
1432.75	439235.14	NA	NA	NA	NA
1433.25	439354.12	NA	NA	NA	NA
1433.75	439473.1	NA	NA	NA	NA
1434.25	439592.08	0	0	202.2	0.14
1434.75	439711.06	NA	NA	NA	NA
1435.25	439830.05	NA	NA	NA	NA
1435.75	439949.03	NA	NA	NA	NA
1436.25	440068.01	505.5	0.1	101.1	0.02
1436.75	440186.99	NA	NA	NA	NA
1437.25	440305.97	NA	NA	NA	NA
1437.75	440424.95	NA	NA	NA	NA
1438.25	440543.94	404.4	0.04	707.8	0.08
1438.75	440662.92	NA	NA	NA	NA
1439.25	440781.9	NA	NA	NA	NA
1439.75	440900.88	NA	NA	NA	NA
1440.25	441019.86	1213.3	0.1	303.3	0.03
1440.75	441138.84	NA	NA	NA	NA
1441.25	441257.82	NA	NA	NA	NA
1441.75	441376.81	NA	NA	NA	NA
1442.25	441495.79	2502.4	0.12	606.7	0.03
1442.75	441614.77	NA	NA	NA	NA
1443.25	441733.75	NA	NA	NA	NA
1443.75	441852.73	NA	NA	NA	NA
1444.25	441971.71	2022.2	0.1	353.9	0.02
1444.75	442090.69	NA	NA	NA	NA
1445.25	442209.68	NA	NA	NA	NA
1445.75	442328.66	NA	NA	NA	NA
1446.25	442447.64	1365	0.07	505.5	0.03
1446.75	442566.62	NA	NA	NA	NA
1447.25	442685.6	NA	NA	NA	NA
1447.75	442804.58	NA	NA	NA	NA
1448.25	442923.56	3437.7	0.1	1011.1	0.03
1448.75	443042.55	NA	NA	NA	NA
1449.25	443161.53	NA	NA	NA	NA
1449.75	443280.51	NA	NA	NA	NA
1450.25	443401.5	2958.3	0.07	986.1	0.02
1450.75	443524.5	NA	NA	NA	NA
1451.25	443647.51	NA	NA	NA	NA
1451.75	443770.51	NA	NA	NA	NA
1452.25	443893.51	5794.9	0.1	929.1	0.02
1452.75	444016.51	NA	NA	NA	NA
1453.25	444139.52	NA	NA	NA	NA
1453.75	444262.52	NA	NA	NA	NA
1454.25	444385.52	3520.9	0.05	391.2	0.01
1454.75	444508.52	NA	NA	NA	NA
1455.25	444631.53	NA	NA	NA	NA
1455.75	444754.53	NA	NA	NA	NA
1456.25	444877.53	4181.1	0.07	1564.9	0.03
1456.75	445000.53	NA	NA	NA	NA
1457.25	445123.54	NA	NA	NA	NA
1457.75	445246.54	NA	NA	NA	NA
1458.25	445369.54	1295.9	0.03	1564.9	0.03
1458.75	445492.54	NA	NA	NA	NA
1459.25	445615.54	NA	NA	NA	NA
1459.75	445738.55	NA	NA	NA	NA
1460.25	445861.55	5672.6	0.08	2738.5	0.04
1460.75	445984.55	NA	NA	NA	NA
1461.25	446107.55	NA	NA	NA	NA
1461.75	446230.56	NA	NA	NA	NA
1462.25	446353.56	4890.2	0.06	1564.9	0.02
1462.75	446476.56	NA	NA	NA	NA
1463.25	446599.56	NA	NA	NA	NA
1463.75	446722.57	NA	NA	NA	NA
1464.25	446845.57	5354.7	0.12	5477	0.12
1464.75	446968.57	NA	NA	NA	NA
1465.25	447091.57	NA	NA	NA	NA
1465.75	447214.58	NA	NA	NA	NA
1466.25	447337.58	7041.9	0.14	5159.1	0.1
1466.75	447460.58	NA	NA	NA	NA
1467.25	447583.58	NA	NA	NA	NA
1467.75	447706.59	NA	NA	NA	NA
1468.25	447829.59	7139.7	0.13	8655.6	0.15
1468.75	447952.59	NA	NA	NA	NA
1469.25	448075.59	NA	NA	NA	NA
1469.75	448198.6	NA	NA	NA	NA
1470.25	448321.6	3765.4	0.03	6210.5	0.05
1470.75	448444.6	NA	NA	NA	NA
1471.25	448567.6	NA	NA	NA	NA
1471.75	448690.61	NA	NA	NA	NA
1472.25	448813.61	3961	0.06	4523.4	0.06
1472.75	448936.61	NA	NA	NA	NA
1473.25	449059.61	NA	NA	NA	NA
1473.75	449182.62	NA	NA	NA	NA
1474.25	449305.62	415.7	0	16700	0.16
1474.75	449428.62	NA	NA	NA	NA
1475.25	449551.62	NA	NA	NA	NA
1475.75	449674.62	NA	NA	NA	NA
1476.25	449797.63	3252	0.03	14254.9	0.12
1476.75	449920.63	NA	NA	NA	NA
1477.25	450043.63	NA	NA	NA	NA
1477.75	450166.63	NA	NA	NA	NA
1478.25	450289.64	2249.5	0.03	6406.1	0.07
1478.75	450412.64	NA	NA	NA	NA
1479.25	450535.64	NA	NA	NA	NA
1479.75	450658.64	NA	NA	NA	NA
1480.25	450781.65	1516	0.02	5648.2	0.07
1480.75	450904.65	NA	NA	NA	NA
1481.25	451027.65	NA	NA	NA	NA
1481.75	451150.65	NA	NA	NA	NA
1482.25	451273.66	2445.1	0.04	6772.9	0.11
1482.75	451396.66	NA	NA	NA	NA
1483.25	451519.66	NA	NA	NA	NA
1483.75	451642.66	NA	NA	NA	NA
1484.25	451765.67	3374.2	0.08	12029.8	0.28
1484.75	451888.67	NA	NA	NA	NA
1485.25	452011.67	NA	NA	NA	NA
1485.75	452134.67	NA	NA	NA	NA
1486.25	452257.68	3203.1	0.08	10147.1	0.26
1486.75	452380.68	NA	NA	NA	NA
1487.25	452503.68	NA	NA	NA	NA
1487.75	452626.68	NA	NA	NA	NA
1488.25	452749.69	5770.4	0.14	4009.9	0.1
1488.75	452872.69	NA	NA	NA	NA
1489.25	452995.69	NA	NA	NA	NA
1489.75	453118.69	NA	NA	NA	NA
1490.25	453241.69	5648.2	0.14	3765.4	0.09
1490.75	453364.7	NA	NA	NA	NA
1491.25	453487.7	NA	NA	NA	NA
1491.75	453646.7	NA	NA	NA	NA
1492.25	453809.69	2989.1	0.08	7805	0.21
1492.75	453972.69	NA	NA	NA	NA
1493.25	454135.69	NA	NA	NA	NA
1493.75	454298.68	NA	NA	NA	NA
1494.25	454461.68	1845.1	0.05	12916	0.35
1494.75	454624.68	NA	NA	NA	NA
1495.25	454787.67	NA	NA	NA	NA
1495.75	454950.67	NA	NA	NA	NA
1496.25	455113.66	1144	0.04	11772	0.38
1496.75	455276.66	NA	NA	NA	NA
1497.25	455439.66	NA	NA	NA	NA
1497.75	455602.65	NA	NA	NA	NA
1498.25	455765.65	996.4	0.02	16034.3	0.31
1498.75	455928.65	NA	NA	NA	NA
1499.25	456091.64	NA	NA	NA	NA
1499.75	456254.64	NA	NA	NA	NA
1500.25	456417.64	313.7	0	16292.6	0.25
1500.75	456580.63	NA	NA	NA	NA
1501.25	456743.63	NA	NA	NA	NA
1501.75	456906.62	NA	NA	NA	NA
1502.25	457069.62	1531.5	0.02	21219.2	0.32
1502.75	457232.62	NA	NA	NA	NA
1503.25	457395.61	NA	NA	NA	NA
1503.75	457558.61	NA	NA	NA	NA
1504.25	457721.61	3081.4	0.03	23064.3	0.23
1504.75	457884.6	NA	NA	NA	NA
1505.25	458047.6	NA	NA	NA	NA
1505.75	458210.6	NA	NA	NA	NA
1506.25	458373.59	2417.1	0.03	12344	0.15
1506.75	458536.59	NA	NA	NA	NA
1507.25	458699.58	NA	NA	NA	NA
1507.75	458862.58	NA	NA	NA	NA
1508.25	459025.58	1420.8	0.04	7952.6	0.22
1508.75	459188.57	NA	NA	NA	NA
1510.25	459677.56	479.7	0.03	4243.8	0.25
1510.75	459840.56	NA	NA	NA	NA
1511.25	460003.56	NA	NA	NA	NA
1511.75	460166.55	NA	NA	NA	NA
1512.25	460329.55	664.3	0.04	4945	0.32
1512.75	460492.55	NA	NA	NA	NA
1513.25	460655.54	NA	NA	NA	NA
1513.75	460818.54	NA	NA	NA	NA
1514.25	460981.53	369	0.02	6421.1	0.32
1514.75	461144.53	NA	NA	NA	NA
