Depth in core (cm)	Age (yrs BP)	G. ruber d18O (per mille)	Relative sea level (m)
1425.88	456422.96	0.475	-112.67
1429.07	458364.82	0.564	-114.6
1430.64	459321.55	0.607	-114.63
1432.21	460278.28	0.651	-112.04
1433.78	461235.01	0.695	-112.26
1435.35	462191.75	0.739	-111.77
1436.92	463148.48	0.783	-110.22
1438.49	464105.21	0.827	-106.06
1440.05	465061.94	0.87	-102.75
1441.62	466018.67	0.914	-100.56
1443.19	466975.4	0.958	-98.82
1444.76	467932.13	1.002	-97.11
1446.33	468888.86	1.046	-99.39
1446.81	469175.88	1.059	-96.84
1447.63	469678	1.082	-93.86
1448.2	470025.95	1.098	-86.42
1448.77	470373.91	1.114	-86.62
1449	470513.09	1.12	-85.92
1450.2	470721.87	0.958	-89.77
1450.8	470826.26	0.877	-87.99
1451	470861.05	0.85	-89.15
1452.8	471069.83	1.18	-89.6
1454	471209.01	1.4	-88.2
1455	471348.19	0.65	-87.74
1455.33	471417.78	0.81	-86.18
1456	471556.97	1.13	-84.11
1457	471696.15	0.38	-84.38
1457.67	471765.74	0.423	-80.09
1459	471904.92	0.51	-80.51
1460	472044.11	0.43	-80.43
1460.33	472113.7	0.647	-84.59
1460.83	472218.08	0.972	-89.15
1461	472252.88	1.08	-88.66
1462	472392.06	0.78	-88.87
1462.67	472461.65	0.937	-89.89
1464	472600.84	1.25	-87.88
1465	472740.02	0.51	-88.65
1465.33	472809.61	0.74	-88.38
1466	472948.8	1.2	-91.6
1467	473087.98	1.09	-92.79
1467	473157.57	1.09	-92.9
1467	473296.75	1.09	-91.89
1469	473435.94	0.81	-89.69
1469.33	473505.53	0.697	-88.22
1469.83	473609.91	0.527	-85.74
1470	473644.71	0.47	-81.09
1471	473783.89	0.44	-80.21
1471.33	473853.48	0.58	-83.01
1472	473992.67	0.86	-80.36
1474	474131.85	0.13	-78.49
1474.33	474201.44	0.277	-76.47
1475	474340.62	0.57	-80.11
1477	474479.81	0.57	-79.52
1477.33	474549.4	0.483	-77.45
1478	474688.58	0.31	-70.28
1479	474827.77	-0.25	-70.32
1479.67	474897.36	-0.183	-72.35
1480.67	475001.74	-0.083	-74.25
1481	475036.54	-0.05	-66.2
1482	475175.72	-0.38	-67.53
1482.33	475245.31	-0.017	-73.81
1483	475384.5	0.71	-77.13
1484	475454.09	-0.04	-77.77
1485	475593.27	0.255	-76.62
1486	475732.45	0.55	-82.86
1487.2	475941.23	0.652	-82.04
1488	476080.41	0.72	-77
1489	476219.59	-0.04	-76.72
1489.67	476289.19	0.047	-75.07
1490.67	476393.57	0.177	-77.43
1491	476428.37	0.22	-69.65
1492	476567.55	-0.23	-70.71
1492.33	476637.14	-0.053	-71.41
1493	476776.33	0.3	-76.15
1494	476915.51	0.28	-76.14
1494.67	476985.1	0.263	-75.55
1496	477124.28	0.23	-68.68
1497	477263.47	-0.44	-68.49
1497.33	477333.06	-0.457	-61.52
1498	477472.24	-0.49	-65.5
1499	477611.42	-0.04	-64.72
1499.67	477681.02	0.023	-71.49
1500.67	477785.4	0.118	-73.24
1501	477820.2	0.15	-64.85
1502	477959.38	-0.41	-66.1
1502.33	478028.97	-0.383	-61.57
1503	478168.16	-0.33	-61.23
1504	478307.34	-0.45	-61.64
1504.67	478376.93	-0.26	-65.87
1506	478516.11	0.12	-67.85
1507	478655.3	-0.25	-69.29
1507.5	478724.89	-0.176	-69.64
1507.75	478759.68	-0.139	-78.16
1510.5	479142.44	0.266	-76.26
1510.75	479177.23	0.303	-77.83
1511	479212.03	0.34	-71.32
1512	479351.21	-0.05	-74.39
1512.33	479420.8	0.223	-77.69
1513	479559.99	0.77	-76.79
1514	479699.17	-0.14	-76.77
1514.67	479768.76	0.117	-75.75
