"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Abra antwerpiensis";-3.87120101090789;-0.693147180559945;0;0;NA;-1;0;0;1;13
"Acanthina katzi";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Acanthocardia hanseata";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Acar domingensis";-3.15700042115011;0;0.693147180559945;0;-0.916290731874155;0;1;0;0;13
"Acropora emanuelae";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Acteocina bullata";-3.72569342723665;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Acteocina rusa";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Acteon arnumensis";-3.87120101090789;0;0;0;NA;0;0;0;1;13
"Acteon laevigatus";-3.87120101090789;-0.693147180559945;0;0;NA;-1;0;0;1;13
"Aequipecten opercularis";-4.05467930582967;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;13
"Aequipecten radians";-3.87120101090789;0;0;0;NA;0;0;0;0;13
"Agaronia testacea";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;13
"Alvania curta";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Alveinus rotundus";-3.63758615972639;0;NA;NA;NA;0;NA;NA;0;13
"Amalda glandiformis";-3.63758615972639;-0.405465108108164;NA;NA;NA;-1;NA;NA;0;13
"Amalda obsoleta";-3.87120101090789;-1.38629436111989;-0.693147180559945;-0.693147180559945;-0.693147180559945;-1;0;0;1;13
"Amusium toulae";-3.72569342723665;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;0;13
"Amygdalum phaseolina";-3.87120101090789;-0.693147180559945;0;0;NA;-1;0;0;0;13
"Anadara chiriquiensis";-4.00733318523247;0;0;-1.09861228866811;-0.693147180559946;0;0;-1;0;13
"Anadara dariensis";-3.72569342723666;0.693147180559945;0;0.693147180559945;0.693147180559945;1;0;1;0;13
"Anadara grandis";-2.56494935746154;0.405465108108164;1.09861228866811;NA;NA;1;2;NA;0;13
"Anadara lienosa";-4.10882258140275;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Anadara pittieri";-3.15700042115011;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Anadara preangerensis";-3.63758615972639;0;NA;NA;NA;0;NA;NA;0;13
"Anadara sechurana";-3.87120101090789;0;-0.693147180559945;NA;NA;0;-1;NA;1;13
"Anadara turonica";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Anadara watanabei";-3.87120101090789;-0.693147180559945;-1.09861228866811;NA;NA;-1;-2;NA;1;13
"Anazola rufula";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Ancilla cinnamomea";-4.43081679884332;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Angulus benedeni";-3.87120101090789;0;0;0;NA;0;0;0;0;13
"Angulus donacinus";-3.87120101090789;0;0;NA;NA;0;0;NA;0;13
"Anodontia janus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Anomia ephippium";-3.88156379794344;-0.693147180559945;0.693147180559945;NA;NA;-1;0;NA;0;13
"Antigona multilamella";-3.63758615972639;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Antillophos mexicanus";-4.43081679884332;0;NA;NA;NA;0;NA;NA;0;13
"Aporrhais dingdenensis";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Arca imbricata";-4.33073334028633;0;0;-0.693147180559945;-1.6094379124341;0;0;-1;0;13
"Arca noae";-3.69511000386457;0;1.38629436111989;NA;NA;0;1;NA;0;13
"Arca occidentalis";-4.17438726989564;0.693147180559945;NA;NA;NA;1;NA;NA;0;13
"Arca praeboucardi";-3.15700042115011;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;1;13
"Archimediella spiratus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Architectonica nobilis";-2.76000994003292;0.22314355131421;0.040821994520255;0.040821994520255;0.888119854907459;1;0;0;0;13
"Architectonica perspectivus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Architectonica simplex";-3.87120101090789;-0.693147180559945;0;NA;NA;-1;0;NA;1;13
"Arcinella arcinella";-3.65325227647079;1.09861228866811;NA;NA;NA;1;NA;NA;0;13
"Arcoperna sericea";-3.87120101090789;0;-0.693147180559945;NA;NA;0;-1;NA;1;13
"Arcopsis adamsi";-4.42911467077278;0;NA;NA;NA;0;NA;NA;0;13
"Argopecten levicostatus";-4.13915857801189;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;0;13
"Argopecten venezualanus";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Argopecten venezuelanus";-4.00733318523247;0;0;NA;NA;0;0;NA;0;13
"Arossia newmani";-4.34380542185369;0;NA;NA;NA;0;NA;NA;0;13
"Asthenotoma pannoides";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Astrangia manthelanensis";-4.34380542185369;0;0.405465108108164;NA;NA;0;1;NA;0;13
"Astrodapsis spatiosus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Atrina pectinata";-3.87120101090789;-0.693147180559945;0.693147180559945;0.693147180559945;0.693147180559945;-1;0;0;1;13
"Azorinus antiquatus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Azorinus chamasolen";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Babylonella fusiformis";-3.87120101090789;-0.693147180559945;0;0;NA;-1;0;0;1;13
"Balanophyllia varians";-3.2188758248682;0;0.287682072451781;1.38629436111989;NA;0;1;2;0;13
"Balcis lipara";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Barbatia barbata";-3.88156379794344;-0.693147180559945;-0.182321556793954;NA;NA;-1;0;NA;0;13
"Batillaria noetlingi";-3.87120101090789;-0.693147180559945;NA;NA;NA;-1;NA;NA;1;13
"Biflustra savartii";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
