"","genus","phylum","class","order","family","fad","lad","logsize","logvol"
"1","Abadzekhia","Chordata","bony fish","Perciformes","",33.9,33.9,2.65321251377534,5.94795638152845
"4","Abra","Mollusca","Bivalvia","Cardiida","Semelidae",56,1,1.57978359661681,4.00699044347183
"128","Abra (Abra)","Mollusca","Bivalvia","Veneroida","Semelidae",41.3,1,1.36116099519503,3.38558560222436
"153","Abra (Syndosmya)","Mollusca","Bivalvia","Veneroida","Semelidae",56,56,1.35945602012099,3.38073944378363
"158","Abrekia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",252.17,247.2,1.0661394928707,2.60476224113442
"161","Absonocytheropteron","Arthropoda","Ostracoda","Podocopida","",38,38,-0.0930905894791462,-1.05956165138995
"164","Abyssothyris","Brachiopoda","Rhynchonellata","Terebratulida","Dyscoliidae",5.333,5.333,1.07022263346096,2.61656765499509
"166","Acadagnostus","Arthropoda","Trilobita","Agnostida","Spinagnostidae",485.4,485.4,1.12764462998424,2.10029177006497
"167","Acambona","Brachiopoda","Rhynchonellata","Athyridida","Retziidae",358.9,358.9,1.60075514963962,4.15047416190606
"168","Acanthalosia","Brachiopoda","Strophomenata","Productida","Strophalosiidae",290.1,265.1,1.57356777303922,4.01104771169176
"229","Acanthatia","Brachiopoda","Strophomenata","Productida","Araksalosiidae",372.2,358.9,1.37106786227174,3.43437082445219
"238","Acanthinites","Mollusca","Cephalopoda","Ceratitida","Tibetitidae",228,228,1.98281376213186,5.09097275037204
"240","Acanthocardia","Mollusca","Bivalvia","Cardiida","Cardiidae",66,1,2.01072386539177,5.23187921326835
"272","Acanthocardia (Acanthocardia)","Mollusca","Bivalvia","Veneroida","Cardiidae",13.82,1,1.61637047229127,4.11098363320779
"283","Acanthoceras","Mollusca","Cephalopoda","","Acanthoceratidae",113,93.9,1.97906251870947,5.0808042355234
"309","Acanthoclymenia","Mollusca","Cephalopoda","Agoniatitida","Acanthoclymeniidae",382.7,382.7,1.09933527768596,2.69612307629148
"317","Acanthocosta","Brachiopoda","Strophomenata","Productida","Productidae",358.9,358.9,1.38996303643589,3.48818028135286
"318","Acanthocybium","Chordata","bony fish","Scombriformes","Scombridae",56,5.333,3.39794000867204,8.08598684586516
"323","Acanthocythere","Arthropoda","Ostracoda","Podocopida","Progonocytheridae",170.3,168.3,-0.148741651280925,-1.21402774159424
"325","Acanthocythereis","Arthropoda","Ostracoda","Podocopida","",83.6,11.62,-0.0222763947111523,-0.863008496020892
"328","Acanthodiscus","Mollusca","Cephalopoda","","Neocomitidae",145,132.9,2.25078582668703,5.81736600471953
"337","Acanthoglypha","Brachiopoda","Rhynchonellata","Pentamerida","Clarkellidae",467.3,467.3,0.957287952867836,2.29004432959091
"338","Acanthohoplites","Mollusca","Cephalopoda","","Deshayesitidae",125,113,2.17527981844238,5.61269147962429
"346","Acantholytoceras","Mollusca","Cephalopoda","","Crioceratitidae",129.4,129.4,1.86332286012046,4.76706814740134
"347","Acanthonema","Mollusca","Gastropoda","Euomphalina","Euomphalidae",407.6,393.3,1.25743856685981,2.9932280688005
"350","Acanthonemus","Chordata","bony fish","Perciformes","Scombridae",56,56,2.14612803567824,4.49217279680358
"351","Acanthoparypha","Arthropoda","Trilobita","Phacopida","Cheiruridae",458.4,458.4,1.03363534841777,1.83723942047174
"353","Acanthopecten","Mollusca","Bivalvia","Pectinida","Limipectinidae",372.2,254.17,1.08386080086657,2.59739772908622
"487","Acanthoplecta","Brachiopoda","Strophomenata","Productida","Productellidae",358.9,346.7,1.61815273337852,4.13801624243689
"496","Acanthopleuroceras","Mollusca","Cephalopoda","Ammonitida","Polymorphitidae",190.8,190.8,1.5532760461371,3.92662265326636
"617","Acanthopygaeus","Chordata","bony fish","Perciformes","",56,56,2.2148438480477,4.68944831198773
"618","Acanthopyge","Arthropoda","Trilobita","Lichida","Lichidae",433.4,387.7,1.72631961211078,3.77547594408432
"630","Acanthorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Acanthothirididae",168.3,152.1,1.40773072802634,3.59239071315166
"633","Acanthorthis","Brachiopoda","Rhynchonellata","Orthida","Platystrophiidae",467.3,467.3,1.31076409622126,3.31203514032006
"634","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",425.6,242,0.304921161900892,0.0451669395939341
"662","Acanthoscaphites","Mollusca","Cephalopoda","","Scaphitidae",83.6,72.1,2.25042000230889,5.81637436269521
"672","Acanthospirifer","Brachiopoda","Rhynchonellata","Spiriferida","Delthyrididae",419.2,419.2,1.24575935596728,3.12408964967635
"684","Acanthospirina","Brachiopoda","Rhynchonellata","Spiriferida","Gerkispiridae",372.2,330.9,0.7481880270062,1.68548244677928
"687","Acanthostega","Chordata","bony fish","","Acanthostegidae",372.2,372.2,2.84509804001426,6.49883855463928
"688","Acanthothiris","Brachiopoda","Rhynchonellata","Rhynchonellida","Acanthothirididae",190.8,168.3,1.36716948853468,3.47511769540571
"699","Acanthotoechia","Brachiopoda","Strophomenata","Billingsellida","Polytoechiidae",467.3,467.3,0.962132469298235,2.26980937547045
"700","Acanthurus","Chordata","bony fish","Perciformes","",47.8,47.8,2.84509804001426,6.49883855463928
"701","Acaretyrricula","Brachiopoda","Strophomenata","Orthotetida","Triplesiidae",443.4,438.5,0.473827459679733,0.879220056675016
"703","Acastava","Arthropoda","Trilobita","Phacopida","Dalmanitidae",419.2,407.6,1.39172882249074,2.83923973532681
"712","Acaste","Arthropoda","Trilobita","Phacopida","Calmoniidae",440.8,407.6,1.48401496266756,3.09747047173809
"729","Acastella","Arthropoda","Trilobita","Phacopida","Dalmanitidae",423,410.8,1.45209324901773,3.00814863416301
"783","Acastellina","Arthropoda","Trilobita","Phacopida","Dalmanitidae",407.6,393.3,0.992995098431341,1.72352178462927
"786","Acastoides","Arthropoda","Trilobita","Phacopida","Calmoniidae",419.2,407.6,1.45568216450079,3.01819096864933
"803","Acentrophorus","Chordata","bony fish","Semionotiformes","Semionotidae",259.9,247.2,1.84509804001426,3.62794889501516
"821","Acernaspis","Arthropoda","Trilobita","Phacopida","Phacopidae",443.4,438.5,1.46128726971831,3.03387491041144
"897","Acerocare","Arthropoda","Trilobita","Ptychopariida","Olenidae",485.4,485.4,1.31586543073678,2.6269623610456
"898","Acerocarina","Arthropoda","Trilobita","Ptychopariida","Olenidae",485.4,485.4,0.952186816838148,1.60933397064877
"902","Acesta","Mollusca","Bivalvia","Pectinida","Limidae",163.5,1,2.40483371661994,6.35208255886854
"962","Acesta (Acesta)","Mollusca","Bivalvia","Pectinida","Limidae",166.1,56,2.26717172840301,5.96079718682821
"970","Acharax","Mollusca","Bivalvia","Solemyida","Solemyidae",113,3.6,2.38021124171161,6.28209654181438
"990","Achoania","Chordata","bony fish","","",419.2,419.2,2.20411998265592,4.65866127772329
