Belemnite specimen	Hook name, morphological analysis	Hook running number, fossil	Hook cross sectional area [mm2], replication 1	Hook cross sectional area [mm2], replication 2	Hook distance to mouth [mm]
1	O 1	001	0.6430	0.6430	14.53
1	O 2	003	0.0943	0.0941	9.90
1	O 3	004	0.9098	0.9297	19.10
1	O 4	005	0.7386	0.7249	36.02
1	O 5	006	1.2291	1.2117	39.03
1	O 6	007	0.3010	0.3087	43.08
1	O 7	008	0.2136	0.2266	54.30
1	O 8	009	0.1921	0.2019	53.36
1	O 9	010	0.2717	0.2619	52.95
1	O 10	011	0.2541	0.2676	50.92
1	O 11	012	0.2881	0.2880	53.40
1	O 12	013	0.2828	0.3003	51.87
1	O 13	014	0.2230	0.2363	51.36
1	O 14	015	0.2942	0.2942	50.36
1	O 15	016	0.1495	0.1540	50.39
1	O 16	017	0.2406	0.2331	56.26
1	O 17	018	0.2224	0.2397	48.58
1	O 18	019	0.1076	0.1029	47.95
1	O 19	020	0.2432	0.2395	46.98
1	O 20	021	0.2647	0.2508	46.57
1	O 21	022	0.3379	0.3330	43.87
1	O 22	024	0.2128	0.2117	43.10
1	O 23	025	0.1898	0.1915	52.40
1	O 24	026	0.4914	0.5031	38.87
1	O 25	028	0.2297	0.2255	37.06
1	O 26	029	0.2167	0.2167	36.57
1	O 27	030	0.5641	0.5622	36.22
1	O 28	031	0.5710	0.5890	36.59
1	O 29	032	0.6307	0.6307	34.65
1	O 30	034	1.0496	1.0882	33.75
1	O 31	037	0.1019	0.1024	31.47
1	O 32	038	0.1002	0.1002	31.82
1	O 33	039	0.8566	0.8724	27.06
1	O 34	041	1.2753	1.2274	23.83
1	O 35	042	1.5294	1.5294	22.76
1	O 36	044	0.5771	0.5841	21.40
1	O 37	045	0.8809	0.8712	20.36
1	O 38	046	0.1741	0.1773	19.02
1	O 39	047	0.0720	0.0738	17.49
1	O 40	048	0.1496	0.1529	36.60
1	O 41	049	0.1648	0.1595	33.43
1	O 42	050	1.3271	1.3376	36.67
1	O 43	054	0.1974	0.1986	45.74
1	O 44	055	0.2057	0.2149	33.82
1	O 45	056	0.1372	0.1313	26.02
1	O 46	057	0.1933	0.1901	26.01
1	O 47	058	0.1049	0.0998	NA
1	O 48	059	0.5970	0.5965	NA
1	O 49	060	0.7694	0.7560	NA
1	O 50	061	1.2622	1.2411	37.50
1	O 51	062	0.0654	0.0654	37.28
1	O 52	063	0.1073	0.1104	38.81
1	O 53	064	0.8938	0.9256	40.02
1	O 54	065	0.2184	0.2295	48.01
1	O 55	066	0.1109	0.1129	NA
2	O 56	067	0.4289	0.4260	NA
2	O 57	070	0.2225	0.2225	NA
2	O 58	072	0.9433	1.0051	12.75
2	O 59	074	0.3824	0.3974	11.91
2	O 60	075	0.3350	0.3421	14.18
2	O 61	077	0.8642	0.8636	45.92
2	O 62	079	0.5924	0.6090	NA
2	O 63	080	0.1201	0.1223	47.15
2	O 64	084	0.9244	0.9541	20.11
2	O 65	085	0.9137	0.9114	54.25
2	O 66	088	0.9389	0.9100	30.96
2	O 67	089	0.9291	0.8747	NA
2	O 68	090	0.1359	0.1370	NA
2	O 69	093	0.7248	0.7128	NA
2	O 70	096	0.6595	0.6698	NA
2	O 71	097	0.2564	0.2550	NA
2	O 72	098	0.7389	0.7348	NA
2	O 73	099	0.7015	0.7123	NA
2	O 74	100	0.8022	0.8209	NA
2	O 75	104	0.9870	1.0338	NA
3	O 76	106	0.2065	0.2147	NA
3	O 77	110	0.1743	0.1770	NA
3	O 78	111	0.1881	0.1981	NA
3	O 79	116	0.3419	0.3260	NA
3	O 80	118	0.0381	0.0381	NA
3	O 81	120	0.1717	0.1788	NA
3	O 82	123	0.1634	0.1602	NA
3	O 83	126	0.1884	0.1861	NA
3	O 84	128	0.1384	0.1400	NA
3	O 85	133	0.1412	0.1383	NA
3	O 86	136	0.1592	0.1596	NA
3	O 87	142	0.0512	0.0524	NA
